Year,Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Time,Chall,Succ,Succ%,Managers
2012,CHW,"1,965,955","24,271",30,27.5,104,104,0,4,16,"$118,208,000 ",2:54,Ventura,,,
2012,CIN,"2,347,251","28,978",28.8,27.1,104,104,0,3,14,"$80,309,500 ",3:00,Baker,,,
2012,CLE,"1,603,596","19,797",27.8,27.6,94,95,0,2,13,"$78,911,300 ",2:58,Acta and Alomar,,,
2012,COL,"2,630,458","32,475",28.1,28.2,117,117,0,1,13,"$75,485,000 ",3:06,Tracy,,,
2012,DET,"3,028,033","37,383",27.9,28.2,105,104,0,3,10,"$131,394,000 ",2:59,Leyland,,,
2012,HOU,"1,607,733","19,849",26.6,27.2,100,102,0,1,8,"$37,651,000 ",3:02,Mills and DeFrancesco,,,
2012,KCR,"1,739,859","21,480",26.1,27.3,102,102,0,1,14,"$61,747,075 ",2:57,Yost,,,
2012,LAA,"3,061,770","37,800",28.7,30.1,94,93,0,4,16,"$141,073,500 ",2:57,Scioscia,,,
2012,LAD,"3,324,246","41,040",30.4,29,96,96,0,2,15,"$177,033,600 ",3:05,Mattingly,,,
2012,MIA,"2,219,444","27,401",28.3,28.8,102,103,0,1,14,"$107,678,000 ",2:57,Guillen,,,
2012,MIL,"2,831,385","34,955",29.2,29,105,104,0,1,16,"$95,717,000 ",3:08,Roenicke,,,
2012,MIN,"2,776,354","34,276",28.9,27.8,98,100,0,1,9,"$99,066,000 ",2:59,Gardenhire,,,
2012,NYM,"2,242,803","27,689",27.9,30.3,95,96,0,2,9,"$91,621,424 ",2:56,Collins,,,
2012,NYY,"3,542,406","43,733",32.9,30.3,104,103,2,4,20,"$197,977,900 ",3:07,Girardi,,,
2012,OAK,"1,679,013","20,729",27.7,27.9,95,95,0,1,13,"$61,202,500 ",3:02,Melvin,,,
2012,PHI,"3,565,718","44,021",31.1,29.1,102,102,2,3,15,"$171,501,558 ",2:56,Manuel,,,
2012,PIT,"2,091,918","25,826",27.6,30.2,95,95,0,2,15,"$70,077,000 ",3:01,Hurdle,,,
2012,SDP,"2,123,721","26,219",27.4,28,91,91,0,1,12,"$55,494,700 ",2:56,Black,,,
2012,SEA,"1,721,920","21,258",27,27.9,92,93,0,1,12,"$78,235,600 ",2:56,Wedge,,,
2012,SFG,"3,377,371","41,696",27.8,30,89,89,0,4,15,"$117,637,350 ",3:02,Bochy,,,
2012,STL,"3,262,109","40,273",29.2,28.6,98,96,0,6,16,"$112,071,000 ",3:01,Matheny,,,
2012,TBR,"1,559,681","19,255",29.7,28.1,95,94,0,2,12,"$63,368,700 ",3:06,Maddon,,,
2012,TEX,"3,460,280","42,720",29.7,28.8,109,107,0,8,17,"$124,119,900 ",3:00,Washington,,,
2012,TOR,"2,099,663","25,922",27.8,27.8,102,103,0,1,10,"$82,352,700 ",2:58,Farrell,,,
2012,WSN,"2,370,794","29,269",27.2,27,101,101,0,4,14,"$92,386,000 ",3:03,Johnson,,,
2011,ARI,"2,105,432","25,993",28.2,27.4,103,103,0,2,12,"$54,823,166 ",2:53,Gibson,,,
2011,ATL,"2,372,940","29,296",28.9,28.4,101,100,1,5,18,"$93,855,132 ",2:56,Gonzalez,,,
2011,BAL,"1,755,461","21,672",28.3,28.2,102,103,1,1,15,"$88,299,038 ",2:54,Showalter,,,
2011,BOS,"3,054,001","37,704",30.1,30.3,105,105,0,6,21,"$166,662,475 ",3:13,Francona,,,
2011,CHC,"3,017,966","37,259",29.3,29.4,101,102,0,1,14,"$136,547,329 ",2:58,Quade,,,
2011,CHW,"2,001,117","24,705",30,28.5,106,106,0,2,14,"$127,789,000 ",2:49,Guillen and Cooper,,,
2011,CIN,"2,213,588","27,328",28.6,27.7,104,103,0,4,17,"$77,297,134 ",3:03,Baker,,,
2011,CLE,"1,840,835","22,726",27.8,26.7,94,96,1,2,13,"$49,426,566 ",2:56,Acta,,,
2011,COL,"2,909,777","35,923",28.6,27.7,119,119,0,1,13,"$91,648,071 ",3:03,Tracy,,,
2011,DET,"2,642,045","32,618",28.6,27.8,102,101,0,5,11,"$106,875,231 ",3:00,Leyland,,,
2011,FLA,"1,520,562","18,772",27.4,28,101,102,0,1,11,"$57,694,000 ",2:58,"Rodriguez, Hyde and McKeon",,,
2011,HOU,"2,067,016","25,519",28.2,27.2,98,99,0,1,7,"$71,110,500 ",2:56,Mills,,,
2011,KCR,"1,724,450","21,290",25.8,26.4,99,100,0,1,13,"$35,712,000 ",2:54,Yost,,,
2011,LAA,"3,166,321","39,090",28.9,28.4,92,92,0,3,13,"$138,543,166 ",2:53,Scioscia,,,
2011,LAD,"2,935,139","36,236",29.8,28.6,96,96,0,3,14,"$103,785,477 ",3:02,Mattingly,,,
2011,MIL,"3,071,373","37,918",28.9,29.3,103,103,0,3,14,"$86,636,333 ",2:56,Roenicke,,,
2011,MIN,"3,168,116","39,113",27.5,28.5,99,99,1,1,10,"$112,737,000 ",2:50,Gardenhire,,,
2011,NYM,"2,352,596","29,044",28,30,96,96,0,2,11,"$151,897,309 ",2:59,Collins,,,
2011,NYY,"3,653,680","45,107",30.6,31,106,105,2,8,20,"$206,275,028 ",3:08,Girardi,,,
2011,OAK,"1,476,791","18,232",29.1,27.4,98,98,0,1,8,"$67,094,000 ",2:53,Geren and Melvin,,,
2011,PHI,"3,680,718","45,441",31.4,29.2,101,100,1,5,17,"$172,976,379 ",2:52,Manuel,,,
2011,PIT,"1,940,429","23,956",27.2,28.1,95,97,0,3,12,"$45,047,000 ",3:00,Hurdle,,,
2011,SDP,"2,143,018","26,457",28,28.1,93,93,0,1,9,"$45,869,140 ",2:52,Black,,,
2011,SEA,"1,896,321","23,411",29.3,26.8,90,92,0,3,12,"$86,110,600 ",2:46,Wedge,,,
2011,SFG,"3,387,303","41,819",30.2,28.5,92,91,0,5,15,"$124,198,333 ",2:54,Bochy,,,
2011,STL,"3,093,954","38,197",29.3,30.2,98,97,0,3,14,"$105,433,572 ",2:55,La Russa,,,
2011,TBR,"1,529,188","18,879",28.2,27.8,93,92,0,3,10,"$41,053,571 ",2:58,Maddon,,,
2011,TEX,"2,946,949","36,382",29.1,28.8,109,108,0,5,16,"$93,799,264 ",2:55,Washington,,,
2011,TOR,"1,818,103","22,446",28.3,27.6,104,104,0,2,6,"$64,567,800 ",2:55,Farrell,,,
2011,WSN,"1,940,478","24,256",28.4,27.6,100,100,1,1,10,"$68,492,928 ",2:57,"Riggleman, McLaren and Johnson",,,
2010,ARI,"2,056,697","25,391",26.8,27.9,105,105,0,1,8,"$61,368,166 ",2:58,Hinch and Gibson,,,
2010,ATL,"2,510,119","30,989",28.6,30.1,98,97,1,6,19,"$84,423,666 ",2:56,Cox,,,
2010,BAL,"1,733,019","21,395",28.6,28.4,99,100,0,1,14,"$81,612,500 ",2:53,"Trembley, Samuel and Showalter",,,
2010,BOS,"3,046,445","37,610",30.9,29.6,106,105,0,6,20,"$164,507,333 ",3:10,Francona,,,
2010,CHC,"3,062,973","37,814",29.4,28.2,104,105,0,1,12,"$146,609,002 ",2:50,Piniella and Quade,,,
2010,CHW,"2,194,378","27,091",30.7,29,103,103,0,2,16,"$107,195,000 ",2:47,Guillen,,,
2010,CIN,"2,060,550","25,439",29,28.2,102,101,0,4,14,"$75,321,542 ",2:56,Baker,,,
2010,CLE,"1,391,644","17,181",27.2,26.6,94,95,0,1,12,"$61,203,966 ",2:54,Acta,,,
2010,COL,"2,875,245","35,497",28.8,28.1,115,115,0,2,10,"$90,677,000 ",3:00,Tracy,,,
2010,DET,"2,461,237","30,386",29,26.5,102,101,0,3,11,"$124,039,928 ",2:54,Leyland,,,
2010,FLA,"1,524,894","18,826",26.9,27.1,103,103,0,2,6,"$57,454,719 ",2:55,Gonzalez and Rodriguez,,,
2010,HOU,"2,331,490","28,784",29.5,29.6,97,98,0,1,8,"$93,216,000 ",2:49,Mills,,,
2010,KCR,"1,615,327","19,942",28.9,27.5,99,101,0,1,8,"$73,105,210 ",2:51,Hillman and Yost,,,
2010,LAA,"3,250,814","40,134",29.7,28.3,96,96,0,2,15,"$104,963,866 ",2:54,Scioscia,,,
2010,LAD,"3,562,320","43,979",30.3,28.1,96,96,0,4,18,"$95,358,016 ",3:01,Torre,,,
2010,MIL,"2,776,531","34,278",27.8,29.2,100,100,1,3,16,"$81,108,278 ",3:03,Macha,,,
2010,MIN,"3,223,640","39,798",28.4,28.6,98,98,1,2,14,"$97,559,166 ",2:51,Gardenhire,,,
2010,NYM,"2,559,738","31,602",28.4,29.5,97,97,0,2,10,"$134,422,942 ",2:57,Manuel,,,
2010,NYY,"3,765,807","46,491",30.3,30.3,106,104,2,8,21,"$210,733,389 ",3:09,Girardi,,,
2010,OAK,"1,418,391","17,511",27.8,26,99,99,0,2,8,"$57,904,900 ",2:44,Geren,,,
2010,PHI,"3,777,322","44,968",31.8,31.1,102,101,1,3,18,"$141,928,379 ",2:54,Manuel,,,
2010,PIT,"1,613,399","19,919",26.5,28.6,98,100,0,1,9,"$37,443,000 ",2:52,Russell,,,
2010,SDP,"2,131,774","26,318",29.1,27.2,91,91,0,2,10,"$37,799,300 ",2:56,Black,,,
2010,SEA,"2,085,630","25,749",29.6,27.1,93,95,1,1,14,"$86,510,000 ",2:43,Wakamatsu and Brown,,,
2010,SFG,"3,037,443","37,499",29.6,27.9,97,97,0,2,11,"$98,641,333 ",2:52,Bochy,,,
2010,STL,"3,301,218","40,756",28.8,30.2,97,96,0,5,14,"$93,540,751 ",2:52,La Russa,,,
2010,TBR,"1,864,999","23,025",27.5,28,95,94,0,4,14,"$71,923,471 ",3:02,Maddon,,,
2010,TEX,"2,505,171","30,928",28.3,27.6,109,108,1,6,16,"$56,474,374 ",2:57,Washington,,,
2010,TOR,"1,495,482","19,173",29.3,28,102,101,0,3,8,"$62,734,000 ",2:48,Gaston,,,
2010,WSN,"1,828,066","22,569",29.1,28,99,100,1,1,12,"$67,701,000 ",2:57,Riggleman,,,
2009,ARI,"2,128,765","26,281",26.5,27.7,105,106,0,2,10,"$75,920,666 ",2:56,Melvin and Hinch,,,
2009,ATL,"2,373,631","29,304",28.8,28.9,99,98,1,1,11,"$99,593,166 ",2:54,Cox,,,
2009,BAL,"1,907,163","23,545",28.7,28.1,101,102,0,1,14,"$69,904,166 ",2:52,Trembley,,,
2009,BOS,"3,062,699","37,811",30,29.8,105,104,1,6,23,"$125,439,499 ",3:06,Francona,,,
2009,CHC,"3,168,859","39,611",29.9,28.4,107,106,0,1,11,"$139,652,000 ",2:52,Piniella,,,
2009,CHW,"2,284,163","28,200",29.8,29.5,105,105,1,1,16,"$101,081,000 ",2:46,Guillen,,,
2009,CIN,"1,747,919","21,579",27.8,29,100,100,0,1,12,"$78,979,000 ",2:58,Baker,,,
2009,CLE,"1,766,242","21,805",27.4,27.8,95,95,0,1,12,"$85,224,866 ",3:01,Wedge,,,
2009,COL,"2,665,080","32,902",27.8,28.5,112,112,0,2,12,"$79,250,200 ",2:57,Hurdle and Tracy,,,
2009,DET,"2,567,165","31,693",29.8,26.6,101,101,0,4,11,"$119,510,145 ",2:50,Leyland,,,
2009,FLA,"1,464,109","18,075",27,26.3,102,102,0,2,6,"$40,029,000 ",3:00,Gonzalez,,,
2009,HOU,"2,521,076","31,124",31.6,31.2,98,98,1,2,12,"$105,804,414 ",2:51,Cooper and Clark,,,
2009,KCR,"1,797,891","22,196",27.6,28.7,97,99,0,1,6,"$76,817,333 ",2:54,Hillman,,,
2009,LAA,"3,240,386","40,005",29.6,28.6,99,98,1,3,14,"$118,169,000 ",2:56,Scioscia,,,
2009,LAD,"3,761,655","46,440",29.7,27.8,95,95,1,3,19,"$102,117,592 ",3:08,Torre,,,
2009,MIL,"3,037,451","37,499",29.3,30,98,98,1,3,11,"$81,384,502 ",3:00,Macha,,,
2009,MIN,"2,416,237","29,466",27.6,27.9,98,98,0,3,11,"$67,804,266 ",2:56,Gardenhire,,,
2009,NYM,"3,168,571","39,118",29.5,29.2,97,97,0,4,13,"$151,994,237 ",2:55,Manuel,,,
2009,NYY,"3,719,358","45,918",30.6,29.3,105,103,2,3,17,"$210,330,039 ",3:11,Girardi,,,
2009,OAK,"1,408,783","17,392",29.1,25.7,98,98,0,1,7,"$65,945,000 ",2:50,Geren,,,
2009,PHI,"3,600,693","44,453",31.3,31.2,101,100,1,5,14,"$115,479,046 ",2:56,Manuel,,,
2009,PIT,"1,577,853","19,480",27,26.3,98,99,0,2,10,"$51,912,500 ",2:49,Russell,,,
2009,SDP,"1,919,603","23,699",28,26.8,90,90,0,2,10,"$50,954,200 ",2:55,Black,,,
2009,SEA,"2,195,533","27,105",29.9,27.4,94,95,1,2,9,"$100,134,166 ",2:46,Wakamatsu,,,
2009,SFG,"2,862,110","35,335",29,28.7,102,101,1,2,15,"$91,944,450 ",2:49,Bochy,,,
2009,STL,"3,343,252","41,275",28.5,30.1,98,97,1,3,11,"$90,928,409 ",2:48,La Russa,,,
2009,TBR,"1,874,962","23,148",27.8,28.4,98,97,0,5,14,"$67,270,334 ",3:01,Maddon,,,
2009,TEX,"2,156,016","26,617",27.8,27.7,104,104,1,3,19,"$79,723,548 ",2:51,Washington,,,
2009,TOR,"1,876,129","23,162",29.9,28.4,100,99,1,2,12,"$83,964,500 ",2:56,Gaston,,,
2009,WSN,"1,817,226","22,435",28.3,27.4,99,101,0,1,11,"$64,384,000 ",2:55,Acta and Riggleman,,,
2008,ARI,"2,509,924","30,987",26.7,29.4,107,107,1,2,11,"$66,202,712 ",2:52,Melvin,,,
2008,ATL,"2,532,834","31,270",27.2,28.6,98,97,3,2,12,"$102,365,683 ",2:52,Cox,,,
2008,BAL,"1,950,075","24,376",30.1,27.9,101,102,0,1,9,"$67,196,246 ",2:58,Trembley,,,
2008,BOS,"3,048,250","37,633",29.8,29.2,107,106,0,7,21,"$133,390,035 ",3:06,Francona,,,
2008,CHC,"3,300,200","40,743",30.1,28.9,107,106,0,8,14,"$120,345,833 ",2:55,Piniella,,,
2008,CHW,"2,500,648","30,496",30.6,28.3,104,105,2,2,16,"$121,189,332 ",2:51,Guillen,,,
2008,CIN,"2,058,632","25,415",28.6,28.7,102,102,1,1,10,"$74,167,695 ",2:55,Baker,,,
2008,CLE,"2,169,760","26,787",27.6,28.6,98,97,0,2,12,"$78,970,066 ",3:01,Wedge,,,
2008,COL,"2,650,218","32,719",27.5,28.5,109,109,0,2,12,"$68,655,500 ",2:54,Hurdle,,,
2008,DET,"3,202,645","39,539",30.3,29.9,102,102,1,1,17,"$138,785,196 ",3:00,Leyland,,,
2008,FLA,"1,335,076","16,482",28,26.6,101,101,0,2,8,"$21,811,500 ",2:56,Gonzalez,,,
2008,HOU,"2,779,487","34,744",31.1,30.9,97,98,0,2,13,"$87,946,807 ",2:52,Cooper,,,
2008,KCR,"1,578,922","19,493",28,27.6,98,99,0,1,8,"$59,445,500 ",2:54,Hillman,,,
2008,LAA,"3,336,747","41,194",29,27.6,102,102,1,3,16,"$119,216,333 ",2:47,Scioscia,,,
2008,LAD,"3,730,553","46,056",28.5,29.5,98,97,1,1,18,"$118,588,536 ",2:57,Torre,,,
2008,MIL,"3,068,458","37,882",28.7,29.9,98,98,0,3,14,"$80,937,499 ",2:55,Yost and Sveum,,,
2008,MIN,"2,302,431","28,425",26.2,27.5,96,96,0,3,11,"$56,932,766 ",2:53,Gardenhire,,,
2008,NYM,"4,042,045","49,902",30.1,29,98,98,1,2,11,"$137,793,376 ",3:02,Randolph and Manuel,,,
2008,NYY,"4,298,655","53,070",31.4,30.6,103,101,4,3,19,"$212,286,789 ",3:05,Girardi,,,
2008,OAK,"1,665,256","20,559",27.2,26.5,94,94,1,1,8,"$47,967,126 ",2:48,Geren,,,
2008,PHI,"3,422,583","42,254",30.1,30.6,102,101,0,2,12,"$97,879,880 ",2:55,Manuel,,,
2008,PIT,"1,609,076","19,865",28.4,26.5,96,97,0,1,10,"$48,689,783 ",2:54,Russell,,,
2008,SDP,"2,427,535","29,970",28.9,30.2,87,88,2,1,11,"$73,677,616 ",2:52,Black,,,
2008,SEA,"2,329,702","28,762",29.7,28.5,96,97,0,1,11,"$117,666,482 ",2:47,McLaren and Riggleman,,,
2008,SFG,"2,863,837","35,356",29.6,27.1,102,102,0,2,12,"$76,594,500 ",2:53,Bochy,,,
2008,STL,"3,432,917","42,382",28.8,30.2,98,98,0,2,12,"$99,624,449 ",2:54,La Russa,,,
2008,TBR,"1,811,986","22,370",27,27.5,101,101,0,3,13,"$44,970,597 ",3:02,Maddon,,,
2008,TEX,"1,945,677","24,021",27.7,28.1,101,102,0,4,13,"$68,037,326 ",3:02,Washington,,,
2008,TOR,"2,399,786","29,627",31,28.6,97,97,2,1,13,"$97,793,900 ",2:51,Gibbons and Gaston,,,
2008,WSN,"2,320,400","29,005",27.7,27.3,98,100,0,1,13,"$54,961,000 ",2:50,Acta,,,
2007,ARI,"2,325,249","28,707",26.6,28.2,107,107,1,3,13,"$52,067,546 ",2:53,Melvin,,,
2007,ATL,"2,745,207","33,891",27.7,29.4,98,98,2,2,12,"$87,290,833 ",2:53,Cox,,,
2007,BAL,"2,164,822","26,726",30.4,29,101,102,0,1,9,"$93,174,808 ",2:59,Perlozzo and Trembley,,,
2007,BOS,"2,970,755","36,676",30.1,31.1,106,105,0,6,19,"$143,026,214 ",3:09,Francona,,,
2007,CHC,"3,252,462","40,154",29.3,28.4,105,104,0,2,14,"$101,670,332 ",2:50,Piniella,,,
2007,CHW,"2,684,395","33,141",29.8,27.7,104,104,1,1,14,"$108,671,833 ",2:53,Guillen,,,
2007,CIN,"2,058,593","25,415",29.7,29.1,104,104,1,1,12,"$68,524,980 ",2:52,Narron and Mackanin,,,
2007,CLE,"2,275,912","28,449",28,29.4,101,100,0,3,13,"$61,673,267 ",3:02,Wedge,,,
2007,COL,"2,376,250","28,979",27.9,28.1,107,108,0,2,10,"$54,041,000 ",2:56,Hurdle,,,
2007,DET,"3,047,133","37,619",30.9,28.5,102,101,1,5,17,"$95,180,369 ",3:00,Leyland,,,
2007,FLA,"1,370,511","16,920",26.7,26.2,97,98,0,1,8,"$30,507,000 ",2:57,Gonzalez,,,
2007,HOU,"3,020,405","37,289",31.4,30.2,100,100,1,2,11,"$87,759,000 ",2:55,Garner and Cooper,,,
2007,KCR,"1,616,867","19,961",28,27.1,100,101,0,1,10,"$67,691,500 ",2:57,Bell,,,
2007,LAA,"3,365,632","41,551",28.6,28.4,101,100,1,3,14,"$109,251,333 ",2:51,Scioscia,,,
2007,LAD,"3,857,036","47,618",29.7,31.1,101,100,0,3,20,"$108,454,524 ",2:54,Little,,,
2007,MIL,"2,869,144","35,422",27.7,29.1,100,100,0,4,14,"$70,986,500 ",2:53,Yost,,,
2007,MIN,"2,296,383","28,350",28.4,27.4,95,95,0,3,13,"$71,439,500 ",2:48,Gardenhire,,,
2007,NYM,"3,853,955","47,580",30.7,31.3,98,97,2,4,19,"$116,181,663 ",2:57,Randolph,,,
2007,NYY,"4,271,083","52,729",30.7,31.4,101,100,3,3,16,"$207,039,045 ",3:14,Torre,,,
2007,OAK,"1,921,844","23,726",28.9,26.9,94,94,1,1,10,"$79,366,940 ",2:53,Geren,,,
2007,PHI,"3,108,325","38,374",28.8,30.6,104,103,0,3,15,"$89,428,213 ",3:03,Manuel,,,
2007,PIT,"1,749,142","21,594",27.2,27.1,97,98,0,1,11,"$38,537,833 ",2:47,Tracy,,,
2007,SDP,"2,790,074","34,445",29.9,31.5,90,90,2,3,12,"$58,110,567 ",2:48,Black,,,
2007,SEA,"2,672,223","32,588",29.9,28.1,96,97,0,2,10,"$106,460,833 ",2:49,Hargrove and McLaren,,,
2007,SFG,"3,223,215","39,793",32.7,27.3,101,101,0,1,14,"$90,219,056 ",2:50,Bochy,,,
2007,STL,"3,552,180","43,854",30.2,29.6,99,99,0,1,13,"$90,286,823 ",2:54,La Russa,,,
2007,TBD,"1,387,603","17,131",25.9,27,98,100,0,1,9,"$24,623,500 ",3:00,Maddon,,,
2007,TEX,"2,353,862","29,060",29.4,27.7,101,101,0,1,13,"$68,643,675 ",2:59,Washington,,,
2007,TOR,"2,360,644","29,144",30.5,27.3,100,99,2,1,10,"$81,942,800 ",2:52,Gibbons,,,
2007,WSN,"1,943,812","23,998",27.9,27.5,94,95,0,1,9,"$36,947,500 ",2:55,Acta,,,
2006,ARI,"2,091,685","25,823",29.7,28.8,105,105,0,1,14,"$59,984,226 ",2:52,Melvin,,,
2006,ATL,"2,550,524","31,488",27.5,29.4,100,99,2,3,12,"$90,156,876 ",2:50,Cox,,,
2006,BAL,"2,153,139","26,582",30.4,27.9,99,99,0,1,9,"$72,585,582 ",2:53,Perlozzo,,,
2006,BOS,"2,930,588","36,180",30.5,31.1,105,104,0,4,18,"$120,099,824 ",3:08,Francona,,,
2006,CHC,"3,123,215","38,558",28.6,28,103,103,1,1,13,"$94,424,499 ",2:50,Baker,,,
2006,CHW,"2,957,414","36,511",29.8,27.9,104,104,1,7,16,"$102,750,667 ",2:49,Guillen,,,
2006,CIN,"2,134,607","26,353",29.6,29.5,104,104,1,1,13,"$60,909,519 ",2:50,Narron,,,
2006,CLE,"1,997,995","24,667",27.7,28.6,99,98,0,1,14,"$56,031,500 ",2:54,Wedge,,,
2006,COL,"2,104,362","25,980",27.8,28.8,109,109,0,2,10,"$41,233,000 ",2:51,Hurdle,,,
2006,DET,"2,595,937","32,049",29.3,28.8,100,99,1,3,15,"$82,612,866 ",2:46,Leyland,,,
2006,FLA,"1,164,134","14,372",25.5,25.9,95,96,0,2,6,"$14,671,500 ",2:51,Girardi,,,
2006,HOU,"3,022,763","37,318",30.5,29.8,100,99,1,2,9,"$100,894,435 ",2:54,Garner,,,
2006,KCR,"1,372,638","16,946",29.7,27.7,101,103,0,1,9,"$47,694,000 ",2:56,Bell,,,
2006,LAA,"3,406,790","42,059",28.8,27.9,100,99,1,1,15,"$103,472,000 ",2:48,Scioscia,,,
2006,LAD,"3,758,545","46,402",29.9,30.4,101,100,1,2,23,"$98,447,187 ",2:53,Little,,,
2006,MIL,"2,335,643","28,835",28.8,28.3,101,101,0,3,13,"$57,970,333 ",2:52,Yost,,,
2006,MIN,"2,285,018","28,210",28.3,26.9,98,98,0,3,17,"$63,396,006 ",2:46,Gardenhire,,,
2006,NYM,"3,379,535","41,723",30.2,32.2,98,97,2,6,15,"$101,584,963 ",2:54,Randolph,,,
2006,NYY,"4,248,067","52,445",30.9,32.5,101,99,4,4,15,"$194,663,079 ",3:08,Torre,,,
2006,OAK,"1,976,625","24,403",29.7,27,97,97,1,1,10,"$64,843,079 ",2:47,Macha,,,
2006,PHI,"2,701,815","33,356",29.3,30.5,105,104,0,3,18,"$88,273,333 ",2:56,Manuel,,,
2006,PIT,"1,861,549","22,982",27.8,27,98,99,0,2,13,"$46,717,750 ",2:48,Tracy,,,
2006,SDP,"2,659,757","32,837",30.7,30.6,91,90,2,1,14,"$69,896,141 ",2:50,Bochy,,,
2006,SEA,"2,481,165","30,632",28.7,28,97,97,0,2,16,"$87,959,833 ",2:47,Hargrove,,,
2006,SFG,"3,130,313","38,646",33.7,28.7,100,100,0,1,14,"$90,056,419 ",2:46,Alou,,,
2006,STL,"3,407,104","42,589",29.6,28.6,99,99,0,4,12,"$88,891,371 ",2:51,La Russa,,,
2006,TBD,"1,368,950","16,901",27.3,27,99,100,0,1,7,"$34,917,967 ",2:48,Maddon,,,
2006,TEX,"2,388,757","29,491",28.4,28.3,101,101,0,2,15,"$68,228,662 ",2:49,Showalter,,,
2006,TOR,"2,302,212","28,422",28.6,28.1,100,100,1,5,11,"$71,365,000 ",2:52,Gibbons,,,
2006,WSN,"2,153,056","26,581",28.5,28.9,94,95,0,1,10,"$63,143,000 ",2:57,Robinson,,,
2005,ARI,"2,059,424","25,425",30.3,27.4,103,104,0,1,10,"$62,629,166 ",2:56,Melvin,,,
2005,ATL,"2,521,167","31,126",28.1,28.6,101,100,2,2,13,"$86,457,302 ",2:46,Cox,,,
2005,BAL,"2,624,740","32,404",31.5,28.3,99,99,0,4,9,"$73,914,333 ",2:53,Mazzilli and Perlozzo,,,
2005,BOS,"2,847,888","35,159",31.3,33.6,104,104,0,5,17,"$123,505,125 ",3:01,Francona,,,
2005,CHC,"3,099,992","38,272",29.7,28.2,104,104,1,2,13,"$87,032,933 ",2:45,Baker,,,
2005,CHW,"2,342,833","28,924",29.3,29.3,103,103,1,4,13,"$75,178,000 ",2:49,Guillen,,,
2005,CIN,"1,943,067","23,696",28.6,28.9,100,101,1,1,8,"$61,892,583 ",2:53,Miley and Narron,,,
2005,CLE,"2,013,763","24,861",27.5,29.2,96,96,0,1,14,"$41,502,500 ",2:51,Wedge,,,
2005,COL,"1,914,389","23,634",27.2,27.3,112,113,0,1,8,"$47,839,000 ",2:48,Hurdle,,,
2005,DET,"2,024,431","24,993",28.5,28,97,97,1,1,15,"$69,092,000 ",2:44,Trammell,,,
2005,FLA,"1,852,608","22,872",29.7,29.5,94,94,0,4,16,"$60,408,834 ",2:49,McKeon,,,
2005,HOU,"2,804,760","34,627",30.3,30.3,101,100,2,4,10,"$76,779,000 ",2:43,Garner,,,
2005,KCR,"1,371,181","16,928",28.1,25.7,99,101,0,1,6,"$36,881,000 ",2:48,"Pena, Schaefer and Bell",,,
2005,LAA,"3,404,686","42,033",29.8,28.5,98,97,1,3,12,"$94,867,822 ",2:50,Scioscia,,,
2005,LAD,"3,603,646","44,489",28.7,28.5,98,97,0,2,14,"$83,039,000 ",2:50,Tracy,,,
2005,MIL,"2,211,023","27,297",28.4,28,100,101,0,1,14,"$39,934,833 ",2:53,Yost,,,
2005,MIN,"2,034,243","25,114",27.6,27.9,102,102,0,2,13,"$56,186,000 ",2:43,Gardenhire,,,
2005,NYM,"2,829,929","34,937",28.8,31.9,97,97,3,3,13,"$101,305,821 ",2:50,Randolph,,,
2005,NYY,"4,090,696","50,502",32.3,34.2,98,97,4,3,23,"$208,306,817 ",3:02,Torre,,,
2005,OAK,"2,109,118","26,038",28.6,26.6,100,100,0,1,7,"$55,425,762 ",2:45,Macha,,,
2005,PHI,"2,665,304","32,905",30,29.7,105,104,1,3,16,"$95,522,000 ",2:51,Manuel,,,
2005,PIT,"1,817,245","22,435",27.4,28.7,99,99,0,1,13,"$38,133,000 ",2:46,McClendon and Mackanin,,,
2005,SDP,"2,869,787","35,429",31.1,31,91,91,1,1,12,"$63,290,833 ",2:47,Bochy,,,
2005,SEA,"2,725,459","33,648",28.7,31.4,95,96,0,1,21,"$87,754,334 ",2:47,Hargrove,,,
2005,SFG,"3,181,023","39,272",32.2,30,101,101,0,1,11,"$90,199,500 ",2:46,Alou,,,
2005,STL,"3,538,988","43,691",30.8,29.7,101,100,1,6,14,"$92,106,833 ",2:48,La Russa,,,
2005,TBD,"1,141,669","14,095",27.5,27.4,98,100,0,1,6,"$29,679,067 ",2:48,Piniella,,,
2005,TEX,"2,525,221","31,176",27.9,30.5,106,105,0,4,17,"$55,849,000 ",2:52,Showalter,,,
2005,TOR,"2,014,995","24,876",28,28.2,102,102,1,2,8,"$45,719,500 ",2:46,Gibbons,,,
2005,WSN,"2,731,993","33,728",29.3,28.9,95,96,0,2,14,"$48,581,500 ",2:55,Robinson,,,
2004,ANA,"3,375,677","41,675",28.9,29,97,96,1,2,15,"$100,534,667 ",2:52,Scioscia,,,
2004,ARI,"2,519,560","31,106",28.9,29.3,105,106,2,1,10,"$69,780,750 ",2:46,Brenly and Pedrique,,,
2004,ATL,"2,327,565","28,735",28.9,30.1,101,99,2,1,11,"$90,182,500 ",2:50,Cox,,,
2004,BAL,"2,744,018","33,877",30.5,27.4,98,98,0,1,8,"$51,623,333 ",3:00,Mazzilli,,,
